pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
638796,Caunus,考納斯,Wikidata,Q608095 · 7 mention(s)
599905,Priene/‘Lince’?,普列涅,徐松岩《历史》2018修订本索引,伊奥尼亚人的城市，在卡里亚
550877,Sigeion,西格翁,Wikidata,Q1583181 · 7 mention(s)
216817,Getae,格泰人,徐松岩《历史》2018修订本索引,色雷斯人的一支
857352,Thermodon (river),泰尔梅河,Wikidata,Q18689526 · 6 mention(s)
863766,Caucasus (mountain range),高加索山脉/高加索山,Wikidata,Q5477 · 6 mention(s)
256468,Tartessos,塔尔提索斯/塔特苏斯,Wikidata,Q320416 · 6 mention(s)
550913,Teos,忒欧斯,Wikidata,Q17586 · 6 mention(s)
580114,Tanagra,塔纳格拉,Wikidata,Q779310 · 6 mention(s)
442810,Taras/Tarentum/Neptunia,塔兰托/塔蘭托,Wikidata,Q13498 · 6 mention(s)
472014,Sardinia (island),撒丁尼亚,徐松岩《历史》2018修订本索引,即撒丁岛
550650,Klazomenai (earlier),克拉佐美纳伊,Wikidata,Q536598 · 6 mention(s)
541104,Skiathos (settlement),斯基亚苏斯,徐松岩《历史》2018修订本索引,岛屿，在玛格涅西亚附近 183
727192,Pelusium,走访在培泸溪昂,徐松岩《历史》2018修订本索引,
462126,Camarina,卡馬利納,Wikidata,Q854843 · 5 mention(s)
912964,Tigris/Diglitus (river),底格里斯河/希底结河,Wikidata,Q35591 · 5 mention(s)
570740,Tiryns,梯林斯/提任斯,Wikidata,Q217379 · 5 mention(s)
550937,Tmolus (mountain),特摩鲁斯,徐松岩《历史》2018修订本索引,山，在吕底亚的萨迪斯附近，产金 101
599577,Colophon,科洛丰,徐松岩《历史》2018修订本索引,
